결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-08-23 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,139650,회사물품구입비,1.0,정확일치,
2025-08-23 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,179700,회사물품구입비,1.0,정확일치,
2025-08-23 00:00:00,추오정남원추어탕처음맛감자탕정왕점,추오정남원추어탕처음맛감자탕정왕점,12000,중식대,0.95,Claude,"가맹점명에 '추어탕', '감자탕'이라는 음식 메뉴가 명시되어 있고, 금액(12,000원)이 1인 식사 비용과 일치합니다. 명확한 음식점 거래입니다."
2025-08-23 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,86000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '석유'와 '주유소'가 명확히 포함되어 있으며, 86,000원은 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-08-23 00:00:00,여우애김밥 안산반달섬점,여우애김밥 안산반달섬점,16400,중식대,1.0,Claude+규칙,"가맹점명 '여우애김밥'은 김밥 전문 음식점으로, 금액 16,400원은 직원 식사비용으로 적합합니다. 예시의 '제육대가'와 동일한 음식점 카테고리입니다."
2025-08-23 00:00:00,(주)성한기업,성한기업,104300,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 예시의 '삼원기업'과 유사한 패턴이며, 10만원대 금액은 차량 주유비로 적합합니다. 다만 '주유소' 등 명확한 키워드가 없어 중간 수준의 신뢰도를 부여했습니다."
2025-08-23 00:00:00,김밥천국정왕점,김밥천국정왕점,10500,중식대,1.0,Claude+규칙,"김밥천국은 대표적인 한국식 분식점으로, 10,500원은 일반적인 식사 금액입니다. 명확한 음식점 거래로 중식대에 해당합니다."
2025-08-23 00:00:00,(주)24시전주명가콩나물국밥 시흥배곧점,24시전주명가콩나물국밥 시흥배곧점,20500,중식대,1.0,Claude+규칙,"가맹점명에 '콩나물국밥'이라는 음식 메뉴가 명시되어 있고, 금액(20,500원)이 일반적인 식사 비용 범위에 해당합니다. 예시의 '국가대표짬뽕'과 동일한 음식점 카테고리입니다."
2025-08-23 00:00:00,SKT-자동납부-647179,SKT-자동납부-647179,142010,사용료,0.95,Claude,"SKT(SK텔레콤) 자동납부는 통신서비스 요금으로, 사용료 카테고리에 명확히 해당합니다. 자동결제 형태의 통신비는 전형적인 사용료입니다."
2025-08-23 00:00:00,SKT-자동납부-044043,SKT-자동납부-044043,71810,사용료,0.95,Claude,"SKT(SK텔레콤) 자동납부는 통신서비스 요금으로, 사용료 카테고리에 해당합니다. 자동결제 서비스이며 통신 관련 명확한 키워드가 포함되어 있습니다."
2025-08-23 00:00:00,김가네가마솥설농탕,김가네가마솥설농탕,34000,중식대,0.95,Claude,"가맹점명 '김가네가마솥설농탕'은 명확한 음식점(한식당)으로, 금액 34,000원은 직원 식사비용으로 적합합니다. 중식대 카테고리에 해당합니다."
2025-08-23 00:00:00,MTV스마트주유소,MTV스마트주유소,50000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 예시 데이터의 주유소 패턴과 일치합니다. 금액(50,000원)도 일반적인 주유 금액 범위에 해당합니다."
2025-08-23 00:00:00,THE 두루치기,THE 두루치기,24500,중식대,1.0,정확일치,
2025-08-23 00:00:00,한화손해보험(주),한화손해보험,820870,기타,0.75,Claude,"한화손해보험은 보험료 납부로 추정되나, 현재 분류 체계에 '보험료' 카테고리가 없어 '기타'로 분류. 금액(82만원)은 차량보험 또는 기업보험 분기/반기 납부액으로 합리적임."
2025-08-23 00:00:00,홈플러스(주)시화점,홈플러스시화점,13400,소모품비,0.85,Claude+규칙,"홈플러스는 대형마트로 사무용품, 생활용품 등 소모품 구매가 일반적입니다. 13,400원은 소모품 구매에 적합한 금액대이며, 식품보다는 비품 구매 가능성이 높습니다."
2025-08-23 00:00:00,야자수,야자수,18900,중식대,0.85,Claude,"""야자수""는 음식점 상호명으로 추정되며, 18,900원은 1인 식사 금액대와 부합합니다. 예시의 ""방일해장국""과 유사한 음식점 패턴입니다."
2025-08-23 00:00:00,백만불삼계탕,백만불삼계탕,30000,중식대,0.95,Claude,"가맹점명 '백만불삼계탕'은 삼계탕을 판매하는 음식점으로, 금액 30,000원은 일반적인 식사 비용에 해당합니다. 예시의 '형제들 감자탕'과 동일한 음식점 유형입니다."
2025-08-23 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,12400,중식대,0.85,Claude,"빠네뜨리아는 베이커리/과자점으로 식음료 구매에 해당하며, 12,400원은 직원 간식이나 회의용 다과 구매로 추정됩니다. 중식대 카테고리에 포함되는 식음료 구매 패턴과 일치합니다."
2025-08-23 00:00:00,휴대폰메시지(승인안내)-06월분 면제,휴대폰메시지-06월분 면제,0,사용료,0.95,Claude+규칙,휴대폰 메시지 서비스의 월정액 요금으로 판단됩니다. 금액이 0원(면제)이지만 통신 서비스 사용료 항목에 해당합니다.
NaT,nan,nan,1786940,기타,0.15,Claude,"가맹점명이 'nan'(결측값)으로 정보가 없고, 일자도 공백이며, 금액(1,786,940원)만으로는 용도를 특정할 수 없어 분류가 불가능합니다. 추가 정보 확인이 필요합니다."
