승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-06-30 00:00:00,제육대가,제육대가,10000,중식대,1.0,정확일치,
2025-06-30 00:00:00,(주)성한기업,성한기업,64170,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 예시의 '삼원기업'과 유사한 패턴이며, 64,170원은 일반적인 주유 금액대입니다. 다만 '주유소' 키워드가 명시되지 않아 신뢰도를 다소 낮게 책정했습니다."
2025-06-28 00:00:00,(주)늘봄가,늘봄가,78000,중식대,0.85,Claude,"""늘봄가""는 한국어 음식점 상호명 패턴이며, 78,000원은 직원 식사 금액대로 적합합니다. 예시의 ""카츠오모이 안산중앙점""과 유사한 음식점 거래로 판단됩니다."
2025-06-27 00:00:00,짬뽕지존 시화MTV점,짬뽕지존 시화MTV점,41000,중식대,0.95,Claude,"가맹점명 '짬뽕지존'은 중식당을 명확히 나타내며, 41,000원은 직원 식사비용으로 적절한 금액입니다. 예시의 '또돈'과 같은 음식점 카테고리에 해당합니다."
2025-06-26 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,13900,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 명확한 음식점이며, 금액 13,900원은 일반적인 식사 비용 범위입니다. 돈까스 전문점은 중식대 카테고리에 해당합니다."
2025-06-24 00:00:00,(주)성한기업,성한기업,80290,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 주유소 관련 키워드가 명확하지 않으나, 금액 80,290원은 일반적인 차량 주유 금액 패턴과 일치합니다. 예시의 주유소들이 다양한 상호명을 사용하는 점을 고려할 때 주유 관련 거래로 추정되나, 상호명만으로는 완전한 확신이 어려워 중간 수준의 신뢰도를 부여합니다."
2025-06-24 00:00:00,빅쭌부대찌개,빅쭌부대찌개,45000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(한식당)이며, 금액 45,000원은 직원 식사비용으로 적절한 범위입니다. 부대찌개는 대표적인 한식 메뉴입니다."
2025-06-23 00:00:00,THE 두루치기,THE 두루치기,30500,중식대,1.0,정확일치,
2025-06-20 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,17500,중식대,0.85,Claude,"빠네뜨리아는 베이커리/과자점으로, 직원 간식이나 회의용 다과 구매로 추정됩니다. 금액(17,500원)도 소량 구매에 적합하며, 식음료 관련 복리후생 성격의 중식대로 분류하는 것이 적절합니다."
2025-06-20 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '석유'와 '주유소'가 명확히 포함되어 있으며, 60,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-06-19 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,42100,중식대,0.85,Claude,"빠네뜨리아는 베이커리/과자점으로, 직원 간식이나 회의용 다과 구매로 추정됩니다. 금액(42,100원)은 여러 명이 나눠 먹을 수 있는 빵/과자 구매 패턴과 일치하며, 식음료 관련 복리후생 성격의 지출로 판단되어 중식대로 분류합니다."
2025-06-19 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,10900,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 돈까스 전문 음식점으로, 금액 10,900원은 1인 식사 금액에 해당합니다. 예시의 '삼백돈돈가츠'와 동일한 음식점 업종입니다."
2025-06-17 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,45100,중식대,0.85,Claude,"빠네뜨리아는 베이커리/과자점으로, 직원 간식이나 회의용 다과 구매로 추정됩니다. 금액(45,100원)도 여러 명이 나눠 먹을 빵/과자 구매에 적합한 수준입니다."
2025-06-16 00:00:00,(주)성한기업,성한기업,63910,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 주유소 관련 키워드가 명확하지 않으나, 금액 63,910원은 일반적인 차량 주유 금액 패턴과 일치합니다. 예시 데이터의 주유 거래들과 유사한 금액대이며, '기업' 명칭은 지역 주유소나 석유 판매업체에서 흔히 사용됩니다."
2025-06-13 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,33600,중식대,0.85,Claude,"빠네뜨리아는 베이커리/과자점으로 식음료 구매에 해당하며, 금액(33,600원)이 직원 식사나 간식 구매에 적합한 수준입니다. 중식대 카테고리에 포함되는 식음료 구매로 판단됩니다."
2025-06-11 00:00:00,오서방닭개장,오서방닭개장,10000,중식대,0.95,Claude,"가맹점명 '오서방닭개장'은 음식점(닭개장 전문점)을 명확히 나타내며, 금액 10,000원은 일반적인 식사 비용에 해당합니다."
2025-06-07 00:00:00,준뽕,준뽕,46700,중식대,0.92,Claude,"가맹점명 '준뽕'은 짬뽕 전문 음식점으로 추정되며, 금액 46,700원은 직원 식사비용으로 적절한 범위입니다. 음식점 거래는 중식대로 분류됩니다."
