결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-09-23 00:00:00,안산휴게소(강릉방향)주유소,안산휴게소주유소,100000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '휴게소주유소'라는 명확한 주유소 키워드가 포함되어 있으며, 10만원의 금액은 일반적인 주유 금액 패턴과 일치합니다."
2025-09-23 00:00:00,울엄마식당,울엄마식당,92000,중식대,1.0,Claude+규칙,"가맹점명 '울엄마식당'은 명확한 음식점 표시어('식당')를 포함하고 있으며, 금액 92,000원은 직원 식사비용으로 적절한 범위입니다. 예시의 '국가대표짬뽕'과 동일한 음식점 카테고리에 해당합니다."
2025-09-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,65000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 65,000원은 일반적인 식사 비용 범위에 해당합니다. 예시의 '비젼라이프'도 중식대로 분류된 것을 참고할 때, 음식점 거래는 중식대 카테고리가 적합합니다."
2025-09-23 00:00:00,스마트허브주유소,스마트허브주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 60,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-09-23 00:00:00,(주)제일스포츠센타,제일스포츠센타,180000,기타,0.65,Claude,스포츠센터는 제공된 분류 체계의 어느 카테고리에도 명확히 해당하지 않습니다. 복리후생비(체육시설) 가능성이 있으나 해당 카테고리가 없어 '기타'로 분류합니다.
2025-09-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,45000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 45,000원은 일반적인 식사 비용 범위에 해당합니다. 예시의 '한스오물렛'과 동일한 음식점 카테고리입니다."
2025-09-23 00:00:00,법원행정처,법원행정처,4000,수수료,1.0,정확일치,
2025-09-23 00:00:00,법원행정처,법원행정처,4000,수수료,1.0,정확일치,
2025-09-23 00:00:00,빅쭌부대찌개,빅쭌부대찌개,50000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(한식당)이며, 금액 50,000원은 직원 식사비용으로 적절한 범위입니다. 예시의 '두부랑콩비지'와 동일한 음식점 카테고리입니다."
2025-09-23 00:00:00,스마트허브주유소,스마트허브주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 60,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-09-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"실내 스크린 골프장으로 추정되며, 접대비나 복리후생비 성격이지만 제시된 분류 체계에 명확히 해당하는 카테고리가 없어 '기타'로 분류. 금액(44,000원)은 1-2인 이용료 수준."
2025-09-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,45000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 음식점(갈비집)을 명확히 나타내며, 금액 45,000원은 일반적인 식사 비용 범위에 해당합니다. 예시의 '대우반점'과 동일한 음식점 카테고리로 분류됩니다."
2025-09-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"실내 스크린 시설로 추정되나, 업무 관련성(접대, 복리후생, 행사 등)을 명확히 판단하기 어려워 기타로 분류. 금액(44,000원)은 소규모 활동비 수준."
2025-09-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,35000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 35,000원은 일반적인 식사 비용 범위입니다. 예시의 '제육대가'와 동일한 음식점 카테고리로 판단됩니다."
2025-09-23 00:00:00,팡파르,팡파르,800000,기타,0.45,Claude,"'팡파르'는 명확한 업종 키워드가 없고, 80만원이라는 금액은 주유비나 식대로 보기 어려운 규모입니다. 소프트웨어, 컨설팅, 이벤트 등 다양한 가능성이 있어 추가 확인이 필요합니다."
2025-09-23 00:00:00,청계산화로구이,청계산화로구이,70000,중식대,0.95,Claude,"가맹점명 '청계산화로구이'는 명확한 음식점(고기구이 전문점)이며, 70,000원은 일반적인 식사 금액 범위에 해당합니다. 예시의 '맥도날드'와 동일하게 중식대로 분류됩니다."
2025-09-23 00:00:00,스마트허브주유소,스마트허브주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 60,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 패턴과 일치합니다."
2025-09-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,94000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장으로 추정되며, 제시된 분류 체계에 명확히 해당하는 카테고리가 없습니다. 복리후생비나 접대비 성격일 수 있으나 해당 카테고리가 분류 체계에 없어 '기타'로 분류합니다."
2025-09-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,83000,중식대,0.95,Claude,"가맹점명 '화랑갈비'는 명확한 음식점(한식당)을 나타내며, 83,000원은 일반적인 식사 금액 범위에 해당합니다. 예시의 '노브랜드버거'와 동일하게 중식대로 분류됩니다."
2025-09-23 00:00:00,빅쭌부대찌개,빅쭌부대찌개,42000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 음식점으로, 부대찌개를 판매하는 한식당입니다. 금액 42,000원은 직원 식사비용으로 적절하며, 예시의 '명성각중화요리'와 동일하게 식당 카테고리에 해당합니다."
2025-09-23 00:00:00,휴대폰메시지(승인안내)-07월분 면제,휴대폰메시지-07월분 면제,0,사용료,0.95,Claude+규칙,휴대폰 메시지 서비스의 월정액 요금으로 통신 관련 사용료에 해당합니다. 면제로 표시되어 0원이지만 정기 결제 항목의 특성을 보입니다.
NaT,nan,nan,1977000,기타,0.3,Claude,"가맹점명이 'nan'(결측값)으로 정보가 없고, 승인일자도 누락되어 있어 거래 내역을 판단할 수 있는 핵심 정보가 부족합니다. 금액(1,977,000원)만으로는 용도를 특정하기 어려워 기타로 분류하며, 매우 낮은 신뢰도를 부여합니다."
