결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-07-23 00:00:00,제육대가,제육대가,10000,중식대,1.0,정확일치,
2025-07-23 00:00:00,(주)성한기업,성한기업,64170,기타,0.45,Claude,"가맹점명 '성한기업'만으로는 업종을 특정하기 어렵습니다. 금액 64,170원은 주유비, 소모품비, 식대 등 여러 용도에 해당할 수 있으나, 명확한 키워드(주유소, 식당, 문구 등)가 없어 기타로 분류합니다."
2025-07-23 00:00:00,(주)늘봄가,늘봄가,78000,중식대,0.85,Claude,"""늘봄가""는 한국식 음식점 상호명 패턴이며, 78,000원은 여러 명의 식사 금액으로 적절합니다. 중식대(직원 식사비) 카테고리에 해당합니다."
2025-07-23 00:00:00,짬뽕지존 시화MTV점,짬뽕지존 시화MTV점,41000,중식대,0.95,Claude,"가맹점명 '짬뽕지존'은 중식 음식점을 명확히 나타내며, 41,000원은 직원 식사비용으로 적절한 금액입니다. 예시의 '홈플러스안산고잔점'도 중식대로 분류된 것을 참고할 때, 음식점 거래는 중식대 카테고리에 해당합니다."
2025-07-23 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,13900,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 돈까스 전문 음식점으로, 직원 식사 용도에 해당합니다. 금액 13,900원은 일반적인 1인 식사 금액 범위이며, 예시의 '대우반점'과 동일한 음식점 카테고리입니다."
2025-07-23 00:00:00,(주)성한기업,성한기업,80290,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 주유소 관련 업체로 추정되며, 금액 80,290원은 일반적인 차량 주유 금액 범위에 해당합니다. 예시의 '삼원기업'과 유사한 명명 패턴을 보이나, 명확한 '주유소' 키워드가 없어 중간 수준의 신뢰도를 부여합니다."
2025-07-23 00:00:00,빅쭌부대찌개,빅쭌부대찌개,45000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(부대찌개 전문점)이며, 금액 45,000원은 직원 식사비용으로 적절한 범위입니다."
2025-07-23 00:00:00,THE 두루치기,THE 두루치기,30500,중식대,1.0,정확일치,
2025-07-23 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,17500,중식대,0.85,Claude,"빠네뜨리아는 베이커리/과자점으로 식음료 구매에 해당하며, 금액(17,500원)이 직원 식사나 간식 구매에 적합한 범위입니다. 업무 중 식음료 구매는 중식대로 분류됩니다."
2025-07-23 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '석유'와 '주유소'가 명확히 포함되어 있으며, 60,000원은 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-07-23 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,42100,중식대,0.85,Claude,"빠네뜨리아는 베이커리/과자점으로 식음료 구매에 해당하며, 금액(42,100원)이 직원 식사 또는 간식 구매에 적합한 범위입니다. 중식대 카테고리에 포함됩니다."
2025-07-23 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,10900,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 명확한 음식점(돈까스 전문점)이며, 금액 10,900원은 일반적인 식사 비용에 해당합니다. 예시의 '이래서 밤새먹소 안산시청점'과 동일한 음식점 카테고리입니다."
