승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-09-30 00:00:00,트레이더스 홀세일클럽 안산점(상품권),트레이더스 홀세일클럽 안산점,2000000,소모품비,0.75,Claude,"트레이더스 홀세일클럽은 코스트코와 유사한 대형 창고형 도매 매장으로, 주로 사무용품, 소모품, 비품 등을 대량 구매하는 곳입니다. 200만원의 금액은 사무실 운영을 위한 소모품 대량 구매로 추정되나, 식음료나 기타 물품 구매 가능성도 있어 중간 수준의 신뢰도를 부여했습니다."
2025-09-30 00:00:00,이루다제면소 반달섬점,이루다제면소 반달섬점,16900,중식대,0.95,Claude,"가맹점명 '이루다제면소'는 면 요리를 제공하는 음식점으로, 금액 16,900원은 일반적인 식사 비용에 해당합니다. 예시의 '토마토김밥'과 유사한 음식점 거래로 판단됩니다."
2025-09-29 00:00:00,트레이더스 홀세일클럽 안산점(상품권),트레이더스 홀세일클럽 안산점,8000000,기타,0.65,Claude,"트레이더스는 대형 도매형 할인매장으로 다양한 품목(식품, 사무용품, 생활용품 등)을 판매합니다. 800만원이라는 고액은 대량 구매를 시사하나, 구체적인 구매 품목을 알 수 없어 소모품비, 복리후생비, 또는 기타 용도 중 명확한 분류가 어렵습니다."
2025-09-26 00:00:00,지에스칼텍스(주)시화공단주유소,지에스칼텍스시화공단주유소,200000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 'GS칼텍스'와 '주유소'가 명확히 포함되어 있으며, 금액(20만원)도 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 패턴과도 일치합니다."
2025-09-24 00:00:00,이루다제면소 반달섬점,이루다제면소 반달섬점,13000,중식대,0.95,Claude,"가맹점명 '이루다제면소'는 면 요리를 제공하는 음식점이며, 금액 13,000원은 1인 식사 금액으로 적절합니다. 명확한 음식점 거래입니다."
2025-09-22 00:00:00,시화대성주유소,시화대성주유소,87000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 87,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-09-20 00:00:00,스틸카용품부품,스틸카용품부품,462000,차량유지비(기타),0.75,Claude,"가맹점명 '스틸카용품부품'은 자동차 부품 판매점으로 추정되며, 462,000원은 차량 부품 구매에 적합한 금액입니다. 주유가 아닌 차량 관련 용품/부품 구매로 판단됩니다."
2025-09-18 00:00:00,시흥식자재마트,시흥식자재마트,110220,중식대,0.75,Claude,"식자재마트는 음식 재료를 판매하는 곳으로, 11만원 규모의 금액은 직원 식사 준비를 위한 식자재 구매로 추정됩니다. 사내 식당 운영이나 단체 중식 준비 목적으로 판단됩니다."
2025-09-16 00:00:00,SKT-자동납부-647179,SKT-자동납부-647179,105390,사용료,0.95,Claude,"SKT(SK텔레콤) 자동납부는 통신서비스 요금으로, 사용료 카테고리에 해당합니다. 자동결제 서비스이며 통신 관련 명확한 키워드가 포함되어 있습니다."
2025-09-16 00:00:00,SKT-자동납부-044043,SKT-자동납부-044043,53440,사용료,0.95,Claude,"SKT(SK텔레콤) 자동납부는 통신서비스 요금으로, 사용료 카테고리에 명확히 해당합니다. 자동결제 형태와 금액 패턴이 월정액 통신요금과 일치합니다."
2025-09-16 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,53180,회사물품구입비,1.0,정확일치,
2025-09-13 00:00:00,(주)경인석유고속도로건천(상)주유,경인석유고속도로건천주유,63000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '석유', '주유'라는 명확한 키워드가 포함되어 있으며, 63,000원은 일반적인 주유 금액 범위에 해당합니다. 고속도로 인근 주유소로 판단됩니다."
2025-09-11 00:00:00,트레이더스 안산점,트레이더스 안산점,165500,소모품비,0.75,Claude,"트레이더스는 코스트코 계열의 대형 도매 창고형 매장으로, 주로 사무용품, 소모품, 생필품을 대량 구매하는 곳입니다. 165,500원의 금액은 사무실 운영을 위한 소모품 구매에 적합한 규모입니다."
2025-09-10 00:00:00,케이티텔레캅주식회사,케이티텔레캅주식회사,220000,사용료,0.92,Claude,"케이티텔레캅은 KT 계열의 통신/보안 서비스 제공 기업으로, 통신 서비스 또는 보안 솔루션 월 이용료로 판단됩니다. 22만원은 법인 통신 서비스의 일반적인 월 요금대입니다."
2025-09-10 00:00:00,이루다제면소 반달섬점,이루다제면소 반달섬점,29000,중식대,0.95,Claude,"가맹점명 '이루다제면소'는 면 요리를 제공하는 음식점이며, 금액 29,000원은 일반적인 식사 비용에 해당합니다. 명확한 음식점 업종으로 중식대로 분류됩니다."
2025-09-10 00:00:00,한화손해보험(주),한화손해보험,760220,차량유지비(기타),0.92,Claude,"한화손해보험은 자동차보험을 포함한 손해보험사로, 76만원대 금액은 차량보험료로 추정됩니다. 차량 관련 보험료는 차량유지비(기타) 항목에 해당합니다."
2025-09-08 00:00:00,이루다제면소 반달섬점,이루다제면소 반달섬점,9500,중식대,0.95,Claude,"가맹점명 '이루다제면소'는 면 요리를 제공하는 음식점이며, 금액 9,500원은 일반적인 식사 가격대입니다. 명확한 음식점 업종으로 중식대에 해당합니다."
2025-09-05 00:00:00,시흥식자재마트,시흥식자재마트,66580,중식대,0.75,Claude,"식자재마트는 음식 재료를 판매하는 곳으로, 66,580원의 금액은 직원 식사 준비를 위한 식자재 구매로 추정됩니다. 회사 구내식당이나 직원 식사 제공 목적의 식자재 구매는 중식대로 분류됩니다."
2025-09-04 00:00:00,3일정성가마솥설렁탕,3일정성가마솥설렁탕,17000,중식대,1.0,Claude+규칙,"가맹점명 '3일정성가마솥설렁탕'은 명확한 음식점이며, 금액 17,000원은 일반적인 식사 비용에 해당합니다. 예시의 '형제들 감자탕'과 동일한 음식점 패턴입니다."
2025-09-02 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,89700,회사물품구입비,1.0,정확일치,
2025-09-02 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,16700,회사물품구입비,1.0,정확일치,
2025-09-02 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,-47600,회사물품구입비,1.0,정확일치,
2025-08-03 00:00:00,휴대폰메시지(승인안내)-08월분 면제,휴대폰메시지-08월분 면제,0,사용료,0.95,Claude+규칙,"휴대폰 메시지 서비스의 월 정기 요금으로, 통신 관련 사용료에 해당합니다. 금액이 0원(면제)이지만 정기 결제 항목으로 판단됩니다."
NaT,nan,nan,12490730,기타,0.15,Claude,"가맹점명, 승인일자가 모두 누락되어 있어 거래 내역을 분석할 수 없습니다. 금액(약 1,249만원)만으로는 용도를 특정할 수 없어 기타로 분류하며, 신뢰도는 매우 낮습니다."
