결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-08-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,45000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비집)이며, 금액 45,000원은 일반적인 식사 비용 범위에 해당합니다. 음식점 거래는 중식대로 분류됩니다."
2025-08-23 00:00:00,빅쭌부대찌개,빅쭌부대찌개,63000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 부대찌개를 판매하는 음식점으로, 63,000원은 직원 식사비용으로 적합한 금액입니다. 예시의 '국가대표짬뽕'과 동일한 음식점 카테고리에 해당합니다."
2025-08-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,39000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장으로 추정되나, 회사의 분류 체계에 명확히 해당하는 카테고리가 없습니다. 복리후생비(체육시설) 또는 접대비 가능성이 있으나 기존 카테고리에 없어 '기타'로 분류합니다."
2025-08-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"실내 스크린 시설로 추정되나, 업무 관련성(접대, 복리후생, 행사 등)을 명확히 판단하기 어려워 기타로 분류. 금액(44,000원)은 소규모 활동비 수준."
2025-08-23 00:00:00,중국성,중국성,24000,중식대,0.95,Claude,"""중국성""은 중식당을 의미하는 명확한 상호명이며, 24,000원은 일반적인 식사 금액대에 해당합니다. 중식대 카테고리에 직접적으로 부합합니다."
2025-08-23 00:00:00,빅쭌부대찌개,빅쭌부대찌개,42000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(한식당)이며, 금액 42,000원은 직원 식사비용으로 적합한 범위입니다. 예시의 '본죽 앤 비빔밥 카페'와 동일한 음식점 카테고리에 해당합니다."
2025-08-23 00:00:00,오박집,오박집,86000,중식대,0.85,Claude,"""오박집""은 한국식 음식점 상호명 패턴이며, 86,000원은 여러 명의 식사 금액으로 적합합니다. 예시의 ""엘에이북창동순두부안산원시점""과 유사한 음식점 거래로 판단됩니다."
2025-08-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,66000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 66,000원은 일반적인 식사 비용 범위에 해당합니다. 음식점 거래는 중식대로 분류됩니다."
2025-08-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"실내 스크린 골프장으로 추정되며, 접대비나 복리후생비 성격이지만 제시된 분류 체계에 명확히 해당하는 카테고리가 없어 '기타'로 분류. 금액(44,000원)은 스크린골프 이용료와 부합."
2025-08-23 00:00:00,밥주까회주까,밥주까회주까,114000,중식대,1.0,Claude+규칙,"가맹점명 '밥주까회주까'는 음식(밥)과 술(회주까)을 제공하는 음식점으로 판단됩니다. 114,000원은 여러 명의 식사 금액으로 적절하며, 예시의 '또돈'과 유사한 음식점 카테고리입니다."
2025-08-23 00:00:00,목구멍 시흥정왕점,목구멍 시흥정왕점,110000,중식대,0.92,Claude,"""목구멍""은 한국의 유명 프랜차이즈 음식점 브랜드이며, 11만원의 금액은 직원 식사 비용으로 적합합니다. 시흥정왕점이라는 지점명도 명확하여 음식점 거래임이 확실합니다."
2025-08-23 00:00:00,중국성,중국성,24000,중식대,0.95,Claude,"가맹점명 '중국성'은 중식당을 의미하며, 24,000원은 일반적인 식사 금액대입니다. 예시의 '삼백돈돈가츠'와 동일한 음식점 카테고리로 분류됩니다."
2025-08-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,61000,기타,0.65,Claude,"스크린골프장으로 추정되며, 제공된 분류 체계에 명확히 해당하는 카테고리가 없습니다. 복리후생비(직원 회식/친목) 또는 접대비 성격일 수 있으나, 현재 분류 체계상 '기타'가 가장 적절합니다."
2025-08-23 00:00:00,스마트허브주유소,스마트허브주유소,100000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 예시 데이터의 패턴과 일치합니다. 금액(100,000원)도 일반적인 주유 금액 범위에 해당합니다."
2025-08-23 00:00:00,평양즉석왕족발,평양즉석왕족발,46000,중식대,0.95,Claude,"가맹점명 '평양즉석왕족발'은 족발 전문 음식점으로, 46,000원은 직원 식사비용으로 적합한 금액입니다. 음식점 거래는 중식대로 분류됩니다."
2025-08-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,35000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 35,000원은 일반적인 식사 비용 범위에 해당합니다."
2025-08-23 00:00:00,밥주까회주까,밥주까회주까,134000,중식대,1.0,Claude+규칙,"가맹점명 '밥주까회주까'는 음식(밥)과 술(회주까)을 제공하는 음식점으로 판단됩니다. 금액 134,000원은 직원 식사 또는 회식 규모에 적합하며, 예시의 '압구정경양식'과 동일하게 중식대로 분류됩니다."
2025-08-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,66000,기타,0.65,Claude,"실내 스크린 골프장으로 추정되며, 접대비나 복리후생비 성격이지만 현재 분류 체계에 해당 카테고리가 없어 '기타'로 분류. 금액(66,000원)은 스크린골프 이용료와 부합."
2025-08-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,66000,중식대,0.95,Claude,"가맹점명 '화랑갈비'는 명확한 음식점(한식당)이며, 66,000원은 직원 식사비용으로 적합한 금액입니다. 예시의 '큰맘할매순대국'과 동일한 음식점 카테고리입니다."
2025-08-23 00:00:00,빅쭌부대찌개,빅쭌부대찌개,50000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(한식당)이며, 금액 50,000원은 직원 식사비용으로 적절한 범위입니다. 부대찌개는 대표적인 한식 메뉴로 중식대 카테고리에 해당합니다."
2025-08-23 00:00:00,팡파르,팡파르,400000,기타,0.45,Claude,"'팡파르'는 명확한 업종 키워드가 없고, 40만원이라는 금액만으로는 용도 특정이 어려움. 레스토랑, 이벤트업체, 소매점 등 다양한 가능성이 있어 추가 확인 필요."
2025-08-23 00:00:00,빅쭌부대찌개,빅쭌부대찌개,50000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(부대찌개 전문점)이며, 금액 50,000원은 직원 식사비용으로 적절한 범위입니다. 예시의 '방일해장국 단원점'과 동일한 음식점 카테고리에 해당합니다."
2025-08-23 00:00:00,손미명태항구시화점,손미명태항구시화점,62000,중식대,0.92,Claude,"가맹점명 '손미명태항구'는 명태 요리를 전문으로 하는 음식점으로 판단되며, 62,000원은 직원 식사비용으로 적절한 금액입니다. 예시의 '명성각중화요리'와 유사한 음식점 카테고리입니다."
2025-08-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장이나 레저시설로 추정되나, 칠칠기업의 분류 체계에서 명확히 해당하는 카테고리가 없습니다. 복리후생비나 접대비 성격일 수 있으나 현재 체계에는 미포함되어 '기타'로 분류합니다."
2025-08-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,35000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 35,000원은 일반적인 식사 비용 범위에 해당합니다."
2025-08-23 00:00:00,밥주까회주까,밥주까회주까,130000,중식대,1.0,Claude+규칙,"가맹점명 '밥주까회주까'는 음식(밥)과 술(회주까)을 제공하는 음식점으로 판단되며, 금액 130,000원은 직원 식사 비용으로 적절한 범위입니다."
2025-08-23 00:00:00,휴대폰메시지(승인안내)-06월분 면제,휴대폰메시지-06월분 면제,0,사용료,1.0,Claude+규칙,"휴대폰 메시지 서비스의 월 정기 요금으로, 통신 관련 사용료에 해당합니다. 면제로 인해 금액은 0원이지만 서비스 사용 내역이 기록된 것입니다."
NaT,nan,nan,1980000,기타,0.3,Claude,"가맹점명이 'nan'(결측값)으로 정보가 없고, 일자도 공백이며, 금액(198만원)만으로는 용도를 특정하기 어려움. 추가 정보 확인 필요."
