승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-07-31 00:00:00,와와식당,와와식당,12000,중식대,1.0,Claude+규칙,"가맹점명 '와와식당'은 명확한 음식점 키워드를 포함하고 있으며, 금액 12,000원은 일반적인 식사 비용 범위에 해당합니다. 예시의 '한식뷔페칠성고잔점'과 동일한 음식점 카테고리로 판단됩니다."
2025-07-30 00:00:00,맘스터치 (고잔신도시점),맘스터치,7800,중식대,1.0,정확일치,
2025-07-29 00:00:00,써브웨이 안산고잔점,서브웨이 안산고잔점,8500,중식대,0.9,Fuzzy,
2025-07-29 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,74000,회사물품구입비,1.0,정확일치,
2025-07-28 00:00:00,우정사업본부(우체국),우정사업본부,4760,우편료,1.0,정확일치,
2025-07-28 00:00:00,한식뷔페칠성고잔점,한식뷔페칠성고잔점,10000,중식대,1.0,정확일치,
2025-07-28 00:00:00,지자체세입금(온라인)-안산시단원-재산세（,지자체세입금-안산시단원-재산세,5428870,세금,1.0,Claude+규칙,"가맹점명에 '지자체세입금', '재산세'가 명시되어 있어 지방세 납부가 명확합니다. 안산시 단원구 재산세 납부 건으로 판단됩니다."
2025-07-26 00:00:00,조남주유소,조남주유소,97000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 금액(97,000원)도 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 패턴과 일치합니다."
2025-07-25 00:00:00,(주)삼원기업,삼원기업,64000,0276호 스타렉스 경유대,1.0,정확일치,
2025-07-24 00:00:00,엘에이(LA)북창동순두부안산원시점,엘에이북창동순두부안산원시점,34500,중식대,1.0,정확일치,
2025-07-23 00:00:00,(주)삼원기업,삼원기업,200000,0276호 스타렉스 경유대,1.0,정확일치,
2025-07-23 00:00:00,시골추어탕,시골추어탕,11000,중식대,1.0,정확일치,
2025-07-22 00:00:00,주식회사 아성다이소,주식회사 아성다이소,42000,회사비품구입비,1.0,정확일치,
2025-07-22 00:00:00,뚜껑이네솥밥,뚜껑이네솥밥,24000,중식대,1.0,Claude+규칙,"가맹점명 '뚜껑이네솥밥'은 명확한 음식점 상호이며, 24,000원은 일반적인 식사 금액대입니다. 솥밥 전문 음식점으로 중식대에 해당합니다."
2025-07-21 00:00:00,또돈,또돈,7000,중식대,1.0,정확일치,
2025-07-19 00:00:00,주식회사 신사,주식회사 신사,80000,기타,0.45,Claude,"""주식회사 신사""는 일반적인 법인명으로 업종이나 사용용도를 특정할 수 있는 키워드가 없습니다. 금액 8만원은 다양한 용도에 해당할 수 있어 명확한 분류가 어렵습니다."
2025-07-18 00:00:00,한식뷔페칠성고잔점,한식뷔페칠성고잔점,9000,중식대,1.0,정확일치,
2025-07-17 00:00:00,법원행정처(인증)-인터넷등기소,법원행정처-인터넷등기소,700,수수료,1.0,Claude+규칙,"법원행정처 인터넷등기소는 등기부등본 발급 등 법무 관련 서비스를 제공하는 공공기관이며, 700원은 전형적인 등기 열람/발급 수수료입니다."
2025-07-17 00:00:00,(주) 삼호 SW주유소,삼호 SW주유소,250000,5352호(5톤 화물차량)경유비,1.0,정확일치,
2025-07-17 00:00:00,쿠팡(주)-쿠팡(주),쿠팡-쿠팡,13430,회사물품구입비,1.0,정확일치,
2025-07-16 00:00:00,써브웨이 안산고잔점,서브웨이 안산고잔점,8500,중식대,0.9,Fuzzy,
2025-07-16 00:00:00,서안산 IC주유소,서안산 IC주유소,86000,0276호 스타렉스 경유대,1.0,정확일치,
2025-07-15 00:00:00,써브웨이 안산고잔점,서브웨이 안산고잔점,7800,중식대,0.9,Fuzzy,
2025-07-14 00:00:00,시골추어탕,시골추어탕,9000,중식대,1.0,정확일치,
2025-07-13 00:00:00,GS칼텍스(주)인천국제공항점,GS칼텍스인천국제공항점,50000,차량유지비(주유),1.0,Claude+규칙,"GS칼텍스는 대표적인 주유소 브랜드이며, 50,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 패턴과 일치합니다."
2025-07-13 00:00:00,자동결제-(주)한글과컴퓨터,자동결제-한글과컴퓨터,10900,사용료,1.0,정확일치,
2025-07-13 00:00:00,인천국제공항공사,인천국제공항공사,26000,주차비,1.0,정확일치,
2025-07-11 00:00:00,주식회사 빅바이트컴퍼니 쉐이크쉑인천공항,주식회사 빅바이트컴퍼니 쉐이크쉑인천공항,25690,중식대,0.95,Claude,"쉐이크쉑은 미국식 프리미엄 버거 전문 패스트푸드 체인이며, 25,690원은 1-2인 식사 금액에 해당합니다. 음식점 카테고리에 명확히 부합합니다."
2025-07-10 00:00:00,또돈,또돈,7000,중식대,1.0,정확일치,
2025-07-10 00:00:00,쿠팡(주)-쿠팡(주),쿠팡-쿠팡,12150,회사물품구입비,1.0,정확일치,
2025-07-09 00:00:00,큰맘할매순대국 안산시청점,큰맘할매순대국 안산시청점,10000,중식대,1.0,정확일치,
2025-07-08 00:00:00,(주) 삼호 SW주유소,삼호 SW주유소,150000,5352호(5톤 화물차량)경유비,1.0,정확일치,
2025-07-07 00:00:00,맥도날드 안산고잔DT점,맥도날드 안산고잔DT점,8400,중식대,1.0,정확일치,
