결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-07-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,65000,중식대,0.95,Claude,"가맹점명 '화랑갈비'는 명확한 음식점(한식당)이며, 65,000원은 직원 식사비용으로 적합한 금액대입니다."
2025-07-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장이나 스포츠 시설로 추정되며, 제공된 분류 체계의 명확한 카테고리(복리후생비, 접대비 등)에 직접 해당하지 않아 '기타'로 분류. 금액(44,000원)은 시설 이용료로 적절한 수준."
2025-07-23 00:00:00,비인증가맹점_스마트로-웰컴페이먼츠,비인증가맹점_스마트로-웰컴페이먼츠,770000,기타,0.45,Claude,"비인증가맹점으로 구체적인 업종 파악이 불가능하며, 웰컴페이먼츠는 PG사(결제대행사)로 다양한 업종의 결제를 처리합니다. 77만원이라는 금액만으로는 명확한 용도 분류가 어려워 추가 확인이 필요합니다."
2025-07-23 00:00:00,스마트허브주유소,스마트허브주유소,100000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '주유소'가 명확히 포함되어 있으며, 예시 데이터의 주유소 거래 패턴과 일치합니다. 금액(10만원)도 일반적인 주유 금액 범위에 해당합니다."
2025-07-23 00:00:00,(주)제일스포츠센타,제일스포츠센타,180000,기타,0.65,Claude,"스포츠센터는 제공된 분류 체계의 주요 카테고리(차량유지비, 중식대, 사용료, 의료비, 소모품비, 수수료, 세금)에 명확히 해당하지 않습니다. 복리후생비 관련일 가능성이 있으나 의료 외 복리후생 카테고리가 별도로 없어 '기타'로 분류합니다."
2025-07-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,88000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장으로 추정되나, 칠칠기업의 분류 체계에 명확히 해당하는 카테고리가 없습니다. 접대비나 복리후생비 성격으로 보이나 기존 체계에 부재하여 '기타'로 분류합니다."
2025-07-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,45000,중식대,0.95,Claude,"가맹점명 '화랑갈비시흥점'은 명확한 음식점(갈비 전문점)이며, 금액 45,000원은 일반적인 식사 비용 범위에 해당합니다. 예시의 '하나비'와 동일한 음식점 카테고리입니다."
2025-07-23 00:00:00,자연소리 당진한우,자연소리 당진한우,131700,중식대,0.92,Claude,"""자연소리 당진한우""는 한우를 취급하는 음식점으로, 금액(131,700원)도 직원 식사 규모에 적합합니다. 명확한 음식점 상호명입니다."
2025-07-23 00:00:00,장수촌,장수촌,102000,중식대,0.85,Claude,"""장수촌""은 한국식 음식점 상호명 패턴이며, 102,000원은 여러 명의 식사 금액으로 적합합니다. 중식대(식대) 카테고리로 분류됩니다."
2025-07-23 00:00:00,평양즉석왕족발,평양즉석왕족발,35000,중식대,0.95,Claude,"가맹점명 '평양즉석왕족발'은 족발 전문 음식점으로, 금액 35,000원은 일반적인 식사 비용에 해당합니다. 명확한 음식점 업종이므로 중식대로 분류합니다."
2025-07-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,154000,기타,0.65,Claude,"인도어 스크린 시설은 골프연습장으로 추정되며, 제시된 분류 체계에 명확히 해당하는 카테고리가 없습니다. 복리후생비나 접대비 성격일 수 있으나 현재 체계에는 해당 항목이 없어 '기타'로 분류합니다."
2025-07-23 00:00:00,중국성,중국성,27000,중식대,0.95,Claude,"""중국성""은 중식당을 의미하는 명확한 상호명이며, 27,000원은 일반적인 식사 금액 범위에 해당합니다. 예시의 ""한스오물렛""과 유사한 음식점 거래로 판단됩니다."
2025-07-23 00:00:00,평양즉석왕족발,평양즉석왕족발,68000,중식대,0.95,Claude,"가맹점명 '평양즉석왕족발'은 족발 전문 음식점으로, 68,000원은 직원 식사비용으로 적합한 금액입니다. 예시의 '돈카츠석'과 동일한 음식점 카테고리에 해당합니다."
2025-07-23 00:00:00,화랑갈비시흥점,화랑갈비시흥점,35000,중식대,0.95,Claude,"가맹점명 '화랑갈비'는 음식점(갈비 전문점)을 명확히 나타내며, 금액 35,000원은 일반적인 식사 비용에 해당합니다. 예시의 '한솥'과 동일한 음식점 카테고리입니다."
2025-07-23 00:00:00,시흥파라다이스인도어스크린,시흥파라다이스인도어스크린,44000,기타,0.65,Claude,"실내 스크린 시설로 추정되나, 업무 관련성(접대, 복리후생, 회의 등)을 명확히 판단하기 어려워 기타로 분류. 금액(44,000원)은 소규모 활동비 수준."
2025-07-23 00:00:00,빅쭌부대찌개,빅쭌부대찌개,46000,중식대,0.95,Claude,"가맹점명 '빅쭌부대찌개'는 명확한 음식점(부대찌개 전문점)이며, 금액 46,000원은 직원 식사비용으로 적절한 범위입니다."
