결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,확정방법,라벨출처,검토의견
2025-07-23 00:00:00,트레이더스 안산점,트레이더스 안산점,313110,중식대,0.8,AI수정,Claude,"성한안산식자재점은 식자재 전문 업체로 중식대(식비)로 분류되어야 합니다. 동일 가맹점의 id=""36"" 거래가 중식대로 분류된 것과 일관성을 맞춰야 합니다."
2025-07-23 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,70920,회사물품구입비,1.0,AI확정,정확일치,"신창수산은 수산물 판매점으로 식자재 구매에 해당하며, 중식대 분류가 적절합니다."
2025-07-23 00:00:00,쿠팡(주)-쿠팡(주),쿠팡-쿠팡,39640,회사물품구입비,1.0,수동검토필요,정확일치,성한기업의 업종이 불명확하고 신뢰도가 낮습니다. 금액이 25만원대로 상당하므로 수동 검토를 통해 정확한 사용용도 확인이 필요합니다.
2025-07-23 00:00:00,추오정남원추어탕처음맛감자탕정왕점,추오정남원추어탕처음맛감자탕정왕점,12000,중식대,0.95,AI확정,Claude,스틸카용품부품은 차량 부품 판매점으로 소모품비(차량 관련 소모품) 분류가 적절합니다.
2025-07-23 00:00:00,시화대성주유소,시화대성주유소,83000,차량유지비(주유),1.0,AI확정,Claude+규칙,"애플마켓은 식품 판매점으로 중식대 분류가 적절하며, 소액(2만원대) 식자재 구매로 판단됩니다."
2025-07-23 00:00:00,(주)24시전주명가콩나물국밥 시흥배곧점,24시전주명가콩나물국밥 시흥배곧점,16500,중식대,1.0,AI확정,Claude+규칙,"성한안산식자재점에서의 소액 구매로 중식대 분류가 적절합니다. id=""12""와 동일 가맹점입니다."
2025-07-23 00:00:00,편편집 시흥정왕점,편편집 시흥정왕점,35000,보험료,0.95,AI수정,Claude,"DB손해보험 결제는 명백히 보험료 납부입니다. 기타가 아닌 보험료로 재분류되어야 하며, 84만원대 금액도 보험료로 적절합니다."
2025-07-23 00:00:00,떡기야(본점),떡기야,11000,중식대,0.85,수동검토필요,Claude,"가맹점명 결측(nan), 날짜 결측(NaT), 고액(306만원)으로 비정상 패턴이 명확합니다. 원본 데이터 확인 및 수동 검토가 반드시 필요합니다."
2025-07-23 00:00:00,주식회사 동신자동차정비,주식회사 동신자동차정비,40000,6104호 자동차검사비,1.0,자동확정,정확일치,
2025-07-23 00:00:00,황태고향갈비골,황태고향갈비골,18000,중식대,0.95,자동확정,Claude,
2025-07-23 00:00:00,국가대표짬뽕,국가대표짬뽕,18000,중식대,1.0,자동확정,정확일치,
2025-07-23 00:00:00,판다팜,판다팜,37000,복리후생비(의료),0.85,자동확정,Claude,
2025-07-23 00:00:00,(주)성한안산식자재점,성한안산식자재점,101720,기타,0.65,자동확정,Claude,
2025-07-23 00:00:00,신창수산,신창수산,150000,중식대,0.75,자동확정,Claude,
2025-07-23 00:00:00,(주)성한기업,성한기업,253080,기타,0.45,자동확정,Claude,
2025-07-23 00:00:00,쿠팡-쿠팡(주),쿠팡-쿠팡,21600,회사물품구입비,1.0,자동확정,정확일치,
2025-07-23 00:00:00,백만불삼계탕,백만불삼계탕,62000,중식대,0.95,자동확정,Claude,
2025-07-23 00:00:00,THE 두루치기,THE 두루치기,42000,중식대,1.0,자동확정,정확일치,
2025-07-23 00:00:00,서울보증보험(주)남대문지점/인터넷,서울보증보험남대문지점인터넷,18840,수수료,1.0,자동확정,Claude+규칙,
