결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,확정방법,라벨출처,검토의견
2025-08-23 00:00:00,시화대성주유소,시화대성주유소,60000,차량유지비(주유),1.0,수동검토필요,Claude+규칙,"(주)성한기업은 가맹점명만으로 사업 내용 파악이 어렵고, 신뢰도도 낮습니다. 금액(84,460원)을 고려할 때 수동 검토가 필요합니다."
2025-08-23 00:00:00,써브웨이시흥배곧신도시점,서브웨이시흥배곧신도시점,26300,중식대,1.0,AI확정,Claude+규칙,"야자수는 음식점으로 추정되며, 금액(34,700원)이 식대로 적절합니다. 중식대 분류가 타당합니다."
2025-08-23 00:00:00,이루다제면소 반달섬점,이루다제면소 반달섬점,31900,기타,0.5,AI수정,Claude,"(주)성한기업이 주유소인지 확인 불가능합니다. 동일 가맹점이 id=""14""에서는 기타로 분류되어 일관성이 없습니다. 수동 검토 후 재분류 필요합니다."
2025-08-23 00:00:00,이마트24 R안산렌보파이브점,이마트24 R안산렌보파이브점,20300,여비교통비,0.9,AI수정,Claude,"시흥버스터미널은 명확히 교통 관련 시설이므로 여비교통비가 적절합니다. 금액(70,000원)도 버스 요금으로 합리적입니다."
2025-08-23 00:00:00,비비큐시화정왕점,비비큐시화정왕점,58000,중식대,0.95,수동검토필요,Claude,"가맹점명 결측(nan), 날짜 결측(NaT), 고액(968,030원)으로 비정상 거래 패턴입니다. 원본 데이터 확인 및 수동 검토가 반드시 필요합니다."
2025-08-23 00:00:00,육수당 안산고잔점,육수당 안산고잔점,23000,중식대,0.95,자동확정,Claude,
2025-08-23 00:00:00,편편집 시흥정왕점,편편집 시흥정왕점,52500,중식대,0.85,자동확정,Claude,
2025-08-23 00:00:00,빠네뜨리아케이크,빠네뜨리아케이크,22900,중식대,0.85,자동확정,Claude,
2025-08-23 00:00:00,김종구부산어묵 정왕점,김종구부산어묵 정왕점,25700,중식대,0.92,자동확정,Claude,
2025-08-23 00:00:00,여우애김밥 안산반달섬점,여우애김밥 안산반달섬점,22800,중식대,1.0,자동확정,Claude+규칙,
2025-08-23 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,13700,중식대,1.0,자동확정,Claude+규칙,
2025-08-23 00:00:00,오투닭갈비&부대찌개 반달섬점,오투닭갈비부대찌개 반달섬점,86000,중식대,0.95,자동확정,Claude,
2025-08-23 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,70000,차량유지비(주유),1.0,자동확정,Claude+규칙,
2025-08-23 00:00:00,빠네뜨리아케이크,빠네뜨리아케이크,19700,중식대,0.85,자동확정,Claude,
2025-08-23 00:00:00,(주)성한기업,성한기업,84460,기타,0.45,자동확정,Claude,
2025-08-23 00:00:00,편편집시흥배곧점,편편집시흥배곧점,41000,중식대,0.85,자동확정,Claude,
2025-08-23 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,60000,차량유지비(주유),1.0,자동확정,Claude+규칙,
2025-08-23 00:00:00,야자수,야자수,34700,중식대,0.75,자동확정,Claude,
2025-08-23 00:00:00,(주)성한기업,성한기업,48170,차량유지비(주유),0.72,자동확정,Claude,
2025-08-23 00:00:00,THE 두루치기,THE 두루치기,41500,중식대,1.0,자동확정,정확일치,
2025-08-23 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,13500,중식대,1.0,자동확정,Claude+규칙,
2025-08-23 00:00:00,시흥버스터미널(주),시흥버스터미널,70000,기타,0.65,자동확정,Claude,
2025-08-23 00:00:00,THE 두루치기,THE 두루치기,41500,중식대,1.0,자동확정,정확일치,
2025-08-23 00:00:00,휴대폰메시지(승인안내)-06월분,휴대폰메시지-06월분,400,사용료,0.9090909090909092,자동확정,Fuzzy,
