결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,확정방법,라벨출처,검토의견
2025-09-23 00:00:00,쿠우쿠우 시흥배곧점,쿠우쿠우 시흥배곧점,69800,중식대,0.95,수동검토필요,Claude,"한국소년보호협회는 비영리단체로 기부금 또는 협찬비 가능성이 있으나, 4,000원의 소액은 회비나 기타 목적일 수 있어 수동 검토가 필요합니다."
2025-09-23 00:00:00,스시아이,스시아이,44000,중식대,0.95,수동검토필요,Claude,"성한기업은 가맹점명만으로 주유소 확정이 어렵습니다. 79,130원은 주유 금액으로 합리적이나, 업종 확인을 위한 수동 검토가 필요합니다."
2025-09-23 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,11400,중식대,1.0,수동검토필요,Claude+규칙,"가맹점명과 날짜가 결측되어 있고 1,218,130원의 고액 거래입니다. 비정상 데이터로 판단되며, 원본 데이터 확인 및 수동 검토가 반드시 필요합니다."
2025-09-23 00:00:00,이마트24 R안산렌보파이브점,이마트24 R안산렌보파이브점,16900,중식대,0.75,자동확정,Claude,
2025-09-23 00:00:00,(주)삼원기업,삼원기업,60000,0276호 스타렉스 경유대,1.0,자동확정,정확일치,
2025-09-23 00:00:00,SK대로셀프주유소,SK대로셀프주유소,200000,차량유지비(주유),1.0,자동확정,Claude+규칙,
2025-09-23 00:00:00,쿠우쿠우 시흥배곧점,쿠우쿠우 시흥배곧점,34900,중식대,0.95,자동확정,Claude,
2025-09-23 00:00:00,시화대성주유소,시화대성주유소,70000,차량유지비(주유),1.0,자동확정,Claude+규칙,
2025-09-23 00:00:00,송림복장어민물장어무한리필직영점,송림복장어민물장어무한리필직영점,8000,중식대,0.95,자동확정,Claude,
2025-09-23 00:00:00,송림수산직영점,송림수산직영점,59800,중식대,0.85,자동확정,Claude,
2025-09-23 00:00:00,구름계란덮밥시흥정왕점,구름계란덮밥시흥정왕점,19300,중식대,1.0,자동확정,Claude+규칙,
2025-09-23 00:00:00,빽다방(시흥정왕로데오점),빽다방,5500,중식대,0.85,자동확정,Claude,
2025-09-23 00:00:00,THE 두루치기,THE 두루치기,31000,중식대,1.0,자동확정,정확일치,
2025-09-23 00:00:00,MTV스마트주유소,MTV스마트주유소,93000,차량유지비(주유),1.0,자동확정,Claude+규칙,
2025-09-23 00:00:00,빠네뜨리아 과자점,빠네뜨리아 과자점,41100,중식대,0.85,자동확정,Claude,
2025-09-23 00:00:00,톡톡푸드,톡톡푸드,33000,중식대,0.85,자동확정,Claude,
2025-09-23 00:00:00,(재)한국소년보호협회,한국소년보호협회,4000,기타,0.65,자동확정,Claude,
2025-09-23 00:00:00,본약국,본약국,33000,복리후생비(의료),1.0,자동확정,Claude+규칙,
2025-09-23 00:00:00,(주)성한기업,성한기업,79130,차량유지비(주유),0.75,자동확정,Claude,
2025-09-23 00:00:00,THE 두루치기,THE 두루치기,41500,중식대,1.0,자동확정,정확일치,
2025-09-23 00:00:00,MTV스마트주유소,MTV스마트주유소,60000,차량유지비(주유),1.0,자동확정,Claude+규칙,
2025-09-23 00:00:00,라홍방마라탕 시흥배곧점,라홍방마라탕 시흥배곧점,34400,중식대,0.95,자동확정,Claude,
2025-09-23 00:00:00,주식회사 살살녹소정왕점,주식회사 살살녹소정왕점,98000,중식대,0.85,자동확정,Claude,
2025-09-23 00:00:00,정안에너지,정안에너지,70000,차량유지비(주유),1.0,자동확정,Claude+규칙,
2025-09-23 00:00:00,휴대폰메시지(승인안내)-07월분,휴대폰메시지-07월분,400,사용료,0.9090909090909092,자동확정,Fuzzy,
