승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,확정방법,라벨출처,검토의견
2025-09-30 00:00:00,후불하이패스10건,후불하이패스10건,13700,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-23 00:00:00,후불하이패스8건,후불하이패스8건,10900,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-22 00:00:00,후불하이패스8건,후불하이패스8건,14100,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-16 00:00:00,후불하이패스2건,후불하이패스2건,3700,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-15 00:00:00,후불하이패스8건,후불하이패스8건,17700,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-09 00:00:00,후불하이패스12건,후불하이패스12건,13800,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-08 00:00:00,후불하이패스2건,후불하이패스2건,3900,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-03 00:00:00,후불하이패스2건,후불하이패스2건,3200,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-02 00:00:00,후불하이패스8건,후불하이패스8건,10500,차량유지비(기타),1.0,자동확정,Claude+규칙,
2025-09-01 00:00:00,후불하이패스4건,후불하이패스4건,7000,차량유지비(기타),1.0,자동확정,Claude+규칙,
